group,RR,n_c,C+,B,HB,BR,BRN,HBR
Introduced grasses,0.005800591778994105,5,-0.020872697686838585,-0.3473419088581168,-0.2838285031357907,-0.5698026332424156,-0.3473419088581168,-0.6931471805599453
Native grasses,0.016213882335142333,5,-0.08479098836354264,0.0339015516756812,0.016786219456413218,-0.054764085409974995,0.1273734956682551,0.17533096558556266
Introduced forbs,0.2922971274195994,5,0.23321577475307365,-0.1082526708056896,-0.21598727609819182,0.16600123133364938,-0.9886113934537812,0.1161096497026497
Native forbs,0.09794908368100089,5,-0.654693436637665,-0.2795205624966997,-0.11017088571072373,0.057767309267136274,0.01712821847470785,-0.11388698065973865
Other,0.762339938030018,5,-0.005550430530649203,0.6848099391221169,-1.2015158006328839,0.623429217580825,-0.47518307108728464,0.19697383358082496
Introduced grasses,0.01315172456414589,105,-0.030284120184938992,0.17561441964239782,-1.5190461434272657,-0.5068409123302208,-0.5143347345202252,-1.0886259219445051
Native grasses,0.2684996686842659,105,3.9832642845950397,3.8994529049589106,3.854393452816296,4.211617207264042,4.279552351793492,4.3538955888713895
Introduced forbs,0.027951058840592586,105,-0.8631241042584819,-1.503782497236067,-0.022682765557716228,-0.04289291290780037,-0.3454005441518514,-0.5349076849473229
Native forbs,0.1199420217615641,105,1.963420150555546,2.4196846406092285,2.9147921079683794,2.8302563252175434,2.799374735886282,2.678857834992366
Other,0.3107078704233253,105,1.4512625972663005,1.6819449178842651,1.6538828714728808,0.8492392203336475,1.350508033887897,0.656883995721466
Introduced grasses,0.002229358098791141,1105,0.16289798078941736,0.21850621638068168,-0.611782871097778,-0.17030581016181864,-0.08569717250044827,-0.3609381197202854
Native grasses,0.0033675656894475523,1105,0.4050184161177133,0.35416193926086526,0.4244908985000292,0.4505208135720073,0.5061339139438257,0.5778482031190787
Introduced forbs,0.002574041378310162,1105,-0.011839264677176227,-0.2441137061430379,0.2616076425645235,0.32027874991147964,0.09975932646237096,0.09207975442877506
Native forbs,0.0017042798238883878,1105,0.48726882009947176,0.6305195614913658,0.9411289739630189,0.8993118589143192,0.8883465982190293,0.7478702102059311
Other,0.0038380662834677616,1105,-1.5514351703476508,-1.4922386593930272,-1.491837708639749,-1.7866314868286868,-1.567059076494969,-1.6586258225241415
